spu_name,is_virtual,is_redeem_code,fin_cata_code,sku_name,sku_code,barcode,isbn_code,sale_price,is_disable
50元得到充值卡,1,0,FC0124,50元得到充值卡,XLJD5X170405001064,chongzhiduihuan,,50.00,0
啵啵得到兑换码商品01,1,1,FC0117,啵啵得到兑换码sku,L18060000064,bobodedaoduihuanma,,0.00,0
兑换码-可库存-啵啵,1,1,FC0124,换码-可库存-啵啵,L18090045543,duihuanmad9482,,23.00,0
听书年卡-可兑换,1,0,FC0129,听书年卡会员,XLJD3X170815002638,XLJD3X170815002638,,12.00,0
听书月卡-可兑换,1,0,FC0089,听书月卡-可兑换,XLJD3X170821002641,XLJD3X170821002641,,22.00,0
得到App200元充值兑换码,1,1,FC0124,得到App200元充值兑换码,XLJD5X170118000766,1542598917587,,33.00,0
product_name,1,0,FC0082,SKU1,L19120077767,1550136211,,123.00,0
product_name,1,0,FC0082,sku name,L19020057816,1550136211,,29.90,0
电子书-中青文,1,0,FC0140,电子书-中青文,L19040058762,1851958162511,1851958162511,3.00,0
1566716833738,1,0,FC0082,1566716833738,L19080064319,1566716833738,,12.00,0
卡券标识-财务分类-第二弹,1,1,FC0148,卡券标识-财务分类-第二弹,L19080064399,d898jdc788f3,,2.00,0
虚拟可库存1566717447195,1,1,FC0148,虚拟可库存1566717447195,1566717447195,1566717447194,,29.20,0
r32432rr,1,0,FC0119,3232,L19080064440,4rt,,3232.00,0
全店满减-兑换码（可库存）,1,0,FC0148,全店满减-兑换码（可库存）,1566717615204,1566717615203,,29.90,0
4343343,1,1,FC0148,434,L19080064421,343434,,4343.00,0
wjjtest123,1,0,FC0082,wjjtest123,L19080064386,wjjtest123,,1.00,0
aaa,1,0,FC0140,SKU标准名称ljj,L19090064935,CMS2C190130212002110,CMS2C190130212002110,12.10,0
苹果连续包月,1,0,FC0145,苹果连续包月,L19090065165,1568015311,,29.90,0
测试0905,1,0,FC0135,测试0905,L19090064959,CMSC415676643185,,9.99,0
电子书-啵啵电子书财务分类,1,0,FC0140,电子书-啵啵电子书财务分类,L19090064963,D0679688477312791,D0679688477312791,1.99,0
aaa,1,0,FC0135,SKU标准名称ljj,L19090064951,CMS2C190130212002113,CMS2C190130212002113,12.10,0
aaa,1,0,FC0135,SKU标准名称ljj,L19090064947,CMS2C190130212002113,CMS2C190130212002113,12.10,0
aaa,1,0,FC0134,SKU标准名称ljj,L19090064943,CMS2C190130212002111,CMS2C190130212002111,12.10,0
