sku_code,partner_code
XLJD5X160926000033,QYFWS-00753
XLJC2X161017000141,QYFWS-00753
XLJC2X161017000140,QYFWS-00753
XLJC2X161017000139,QYFWS-00753
XLJD5X160926000032,QYFWS-00753
LJADD1606083MBY01,QYFWS-00753
XLJX5X170401001054,QYFWS-03810
XLJX5X170401001053,QYFWS-03810
XLJD0X170615001900,QYFWS-00753
XLJD0X170615001901,QYFWS-00753
XLJD0X170615001906,QYFWS-00753
XLJD0X170615001907,QYFWS-00753
XLJD0X170615001908,QYFWS-00753
XLJD0X170627002030,QYFWS-00753
XLJD0X170627002029,QYFWS-00753
XLJD0X170627002028,QYFWS-00753
XLJD0X170605001784,QYFWS-00753
XLJD1X170516001497,QYFWS-00753
XLJD0X170629002044,QYFWS-00753
XLJD0X170629002047,QYFWS-00753
XLJD0X170629002049,QYFWS-00753
XLJD0X170629002050,QYFWS-00753
XLJD0X170629002051,QYFWS-00753
XLJD0X170629002052,QYFWS-00753
XLJD0X170629002053,QYFWS-00753
XLJD0X170629002054,QYFWS-00753
XLJD0X170629002055,QYFWS-00753
XLJD0X170629002056,QYFWS-00753
XLJD0X170629002057,QYFWS-00753
XLJD0X170629002058,QYFWS-00753
XLJD0X170629002059,QYFWS-00753
XLJD0X170629002060,QYFWS-00753
XLJD0X170629002061,QYFWS-00753
XLJD0X170629002062,QYFWS-00753
XLJD0X170629002063,QYFWS-00753
XLJD0X170629002064,QYFWS-00753
XLJD0X170629002065,QYFWS-00753
XLJD0X170629002066,QYFWS-00753
XLJD0X170629002067,QYFWS-00753
XLJD0X170629002068,QYFWS-00753
XLJD0X170629002069,QYFWS-00753
XLJD0X170629002070,QYFWS-00753
XLJD0X170629002071,QYFWS-00753
XLJD0X170629002072,QYFWS-00753
XLJD0X170629002073,QYFWS-00753
XLJD0X170629002074,QYFWS-00753
XLJD0X170629002075,QYFWS-00753
XLJD0X170629002076,QYFWS-00753
XLJD0X170629002077,QYFWS-00753
XLJD0X170629002078,QYFWS-00753
XLJD0X170629002079,QYFWS-00753
XLJD0X170629002080,QYFWS-00753
XLJD0X170629002081,QYFWS-00753
XLJD0X170629002082,QYFWS-00753
XLJD0X170629002087,QYFWS-00753
XLJD0X170629002088,QYFWS-00753
XLJD0X170629002090,QYFWS-00753
XLJD0X170629002091,QYFWS-00753
XLJD0X170629002092,QYFWS-00753
XLJD0X170702002098,QYFWS-00753
XLJD0X170702002099,QYFWS-00753
XLJD0X170702002100,QYFWS-00753
XLJD0X170702002101,QYFWS-00753
XLJD0X170702002102,QYFWS-00753
XLJD0X170702002103,QYFWS-00753
XLJD0X170702002104,QYFWS-00753
XLJD0X170702002105,QYFWS-00753
XLJD0X170702002106,QYFWS-00753
XLJD0X170702002107,QYFWS-00753
XLJD0X170702002108,QYFWS-00753
XLJD0X170702002110,QYFWS-00753
XLJD0X170702002111,QYFWS-00753
XLJD0X170702002113,QYFWS-00753
XLJD0X170702002114,QYFWS-00753
L17070032632,QYFWS-00753
XLJD0X170706002188,QYFWS-00753
XLJD0X170706002192,QYFWS-00753
XLJD0X170706002191,QYFWS-00753
XLJD0X170706002189,QYFWS-00753
XLJD0X170706002187,QYFWS-00753
XLJD0X170706002186,QYFWS-00753
XLJD0X170706002184,QYFWS-00753
XLJD0X170706002185,QYFWS-00753
XLJD0X170706002183,QYFWS-00753
XLJD0X170706002180,QYFWS-00753
